ville,date,temp_min,temp_max,temp_moy,humidite_moy,precipitations_totales,pression_moy,heures_pluie,mois,annee
Lyon,2024-01-01,4.5,10.1,6.395833333333333,79.0,0.0,995.6291666666666,0,1,2024
Lyon,2024-01-02,6.1,9.7,7.904166666666666,80.70833333333333,6.4,991.6458333333334,14,1,2024
Lyon,2024-01-03,8.1,15.0,10.716666666666667,69.25,0.0,989.15,0,1,2024
Lyon,2024-01-04,7.5,12.7,9.245833333333334,69.375,0.0,991.3708333333334,0,1,2024
Lyon,2024-01-05,7.5,9.0,8.304166666666667,85.75,5.9,984.7166666666667,10,1,2024
Lyon,2024-01-06,4.9,7.6,6.254166666666666,75.54166666666667,1.1,988.6666666666666,9,1,2024
Lyon,2024-01-07,3.4,4.7,4.0625,77.5,1.8,992.3874999999999,11,1,2024
Lyon,2024-01-08,-0.2,3.9,0.8125,81.66666666666667,1.5,997.5083333333333,13,1,2024
Lyon,2024-01-09,-0.4,1.1,0.21666666666666667,80.875,0.4,1001.475,3,1,2024
Lyon,2024-01-10,-0.1,2.0,0.9041666666666667,87.66666666666667,2.5,1001.9416666666666,10,1,2024
Lyon,2024-01-11,0.4,1.9,1.175,89.54166666666667,0.0,1004.3083333333334,0,1,2024
Lyon,2024-01-12,-0.3,1.7,0.3625,82.0,0.0,1007.6166666666667,0,1,2024
Lyon,2024-01-13,-2.7,1.0,-0.9666666666666667,84.45833333333333,0.0,1004.5583333333334,0,1,2024
Lyon,2024-01-14,-3.0,0.7,-1.3583333333333334,93.66666666666667,0.7,995.0208333333334,5,1,2024
Lyon,2024-01-15,0.5,5.0,2.3625000000000003,90.375,8.1,989.5958333333333,17,1,2024
Lyon,2024-01-16,-1.3,1.8,0.2791666666666666,91.875,0.0,989.4791666666666,0,1,2024
Lyon,2024-01-17,1.9,12.8,9.4375,86.83333333333333,7.3,975.6958333333333,15,1,2024
Lyon,2024-01-18,1.7,11.8,8.137500000000001,87.20833333333333,6.3,979.5291666666667,16,1,2024
Lyon,2024-01-19,-0.8,2.2,0.5458333333333333,75.33333333333333,0.0,997.5500000000001,0,1,2024
Lyon,2024-01-20,-2.9,1.2,-1.1791666666666667,75.875,0.0,1006.6625,0,1,2024
Lyon,2024-01-21,-2.7,8.0,1.4291666666666665,79.75,0.0,1009.7125,0,1,2024
Lyon,2024-01-22,-1.2,8.0,3.6916666666666664,89.33333333333333,2.1,1007.3666666666667,5,1,2024
Lyon,2024-01-23,0.2,11.5,5.3625,89.54166666666667,0.0,1013.2875,0,1,2024
Lyon,2024-01-24,4.2,14.6,8.483333333333333,83.29166666666667,0.0,1013.9416666666666,0,1,2024
Lyon,2024-01-25,4.9,15.3,8.637500000000001,84.0,0.0,1011.6125000000001,0,1,2024
Lyon,2024-01-26,3.2,14.0,8.770833333333334,85.75,0.0,1011.4541666666668,0,1,2024
Lyon,2024-01-27,3.3,10.5,6.545833333333333,85.20833333333333,0.0,1012.6,0,1,2024
Lyon,2024-01-28,3.3,15.2,7.504166666666666,79.83333333333333,0.0,1009.1958333333333,0,1,2024
Lyon,2024-01-29,6.7,15.3,10.304166666666667,71.70833333333333,0.0,1009.4,0,1,2024
Lyon,2024-01-30,5.8,14.8,8.966666666666667,78.20833333333333,0.0,1011.5500000000001,0,1,2024
Lyon,2024-01-31,2.3,13.7,6.604166666666667,85.70833333333333,0.0,1013.1166666666667,0,1,2024
Lyon,2024-02-01,3.5,10.8,7.45,92.29166666666667,0.2,1012.7666666666668,2,2,2024
Lyon,2024-02-02,5.9,11.7,9.016666666666667,83.20833333333333,0.1,1013.8375,1,2,2024
Lyon,2024-02-03,1.4,8.1,4.804166666666666,91.54166666666667,0.0,1012.5500000000001,0,2,2024
Lyon,2024-02-04,4.4,7.9,5.766666666666667,86.45833333333333,0.0,1012.0124999999999,0,2,2024
Lyon,2024-02-05,1.5,7.5,5.1875,88.83333333333333,0.0,1008.6791666666667,0,2,2024
Lyon,2024-02-06,1.2,8.9,4.841666666666667,89.75,0.0,1004.4708333333333,0,2,2024
Lyon,2024-02-07,5.9,13.9,9.395833333333334,72.20833333333333,2.4,996.1416666666668,4,2,2024
Lyon,2024-02-08,9.3,15.5,11.883333333333333,74.16666666666667,7.6,985.6333333333333,7,2,2024
Lyon,2024-02-09,11.3,13.5,12.258333333333333,75.41666666666667,8.2,972.7166666666667,16,2,2024
Lyon,2024-02-10,6.2,11.1,8.629166666666666,88.33333333333333,17.5,967.3249999999999,18,2,2024
Lyon,2024-02-11,5.4,11.8,8.008333333333333,78.625,1.1,979.1958333333333,4,2,2024
Lyon,2024-02-12,2.7,10.9,7.195833333333333,75.29166666666667,0.0,987.6708333333332,0,2,2024
Lyon,2024-02-13,3.0,12.9,7.783333333333334,72.5,0.0,999.9083333333333,0,2,2024
Lyon,2024-02-14,5.6,16.3,9.612499999999999,72.70833333333333,0.0,1003.1958333333333,0,2,2024
Lyon,2024-02-15,5.2,16.3,10.491666666666667,74.04166666666667,0.0,997.7583333333333,0,2,2024
Lyon,2024-02-16,10.9,16.6,13.1875,68.20833333333333,0.2,998.8291666666668,2,2,2024
Lyon,2024-02-17,10.0,12.2,10.945833333333333,76.16666666666667,0.2,1009.9166666666666,2,2,2024
Lyon,2024-02-18,9.0,14.1,10.920833333333334,73.33333333333333,1.0,1012.0583333333334,4,2,2024
Lyon,2024-02-19,9.6,13.9,11.154166666666667,78.16666666666667,0.0,1010.9375,0,2,2024
Lyon,2024-02-20,6.4,12.1,9.458333333333334,70.70833333333333,0.1,1009.8041666666667,1,2,2024
Lyon,2024-02-21,3.0,14.6,8.604166666666666,68.29166666666667,0.6,1001.775,2,2,2024
Lyon,2024-02-22,9.6,12.9,11.029166666666667,76.20833333333333,18.5,985.6291666666666,18,2,2024
Lyon,2024-02-23,3.5,12.2,7.679166666666667,66.08333333333333,0.0,980.3125,0,2,2024
Lyon,2024-02-24,4.1,11.1,7.095833333333334,69.54166666666667,0.1,984.4083333333333,1,2,2024
Lyon,2024-02-25,4.2,10.6,7.395833333333333,71.41666666666667,3.3,982.8583333333332,7,2,2024
Lyon,2024-02-26,8.3,14.4,10.612499999999999,71.91666666666667,1.5999999999999999,977.1833333333334,4,2,2024
Lyon,2024-02-27,5.9,10.8,8.5875,76.29166666666667,0.4,987.8958333333334,2,2,2024
Lyon,2024-02-28,6.7,10.3,8.387500000000001,72.29166666666667,0.0,998.4,0,2,2024
Lyon,2024-02-29,2.5,11.9,7.3,68.70833333333333,0.0,993.8000000000001,0,2,2024
Lyon,2024-03-01,5.2,12.5,8.708333333333334,68.04166666666667,0.7,988.1541666666667,5,3,2024
Lyon,2024-03-02,7.3,14.8,10.779166666666667,62.041666666666664,0.1,981.3916666666668,1,3,2024
Lyon,2024-03-03,3.9,11.2,6.795833333333333,76.0,31.3,980.7208333333333,17,3,2024
Lyon,2024-03-04,5.2,9.6,7.333333333333333,71.20833333333333,1.2,991.5291666666667,5,3,2024
Lyon,2024-03-05,3.8,10.3,7.008333333333333,79.5,6.699999999999999,996.6458333333334,9,3,2024
Lyon,2024-03-06,2.9,10.4,6.633333333333333,73.20833333333333,0.0,1000.6750000000001,0,3,2024
Lyon,2024-03-07,-0.9,14.1,6.7375,70.33333333333333,0.0,995.5416666666666,0,3,2024
Lyon,2024-03-08,4.4,13.1,7.991666666666667,70.79166666666667,0.2,985.7291666666666,2,3,2024
Lyon,2024-03-09,5.9,14.3,10.0875,64.33333333333333,1.5,977.4333333333334,4,3,2024
Lyon,2024-03-10,6.3,14.3,9.579166666666667,71.04166666666667,17.7,975.1999999999999,13,3,2024
Lyon,2024-03-11,5.4,11.1,8.4,76.375,1.4,986.9916666666667,4,3,2024
Lyon,2024-03-12,5.3,13.4,9.195833333333333,76.66666666666667,5.5,999.025,8,3,2024
Lyon,2024-03-13,8.3,16.5,11.545833333333334,76.45833333333333,0.0,998.4958333333334,0,3,2024
Lyon,2024-03-14,4.0,19.1,11.387500000000001,76.20833333333333,0.0,994.9083333333333,0,3,2024
Lyon,2024-03-15,8.0,17.7,12.233333333333334,79.375,2.1,997.2125,6,3,2024
Lyon,2024-03-16,10.0,17.2,13.075000000000001,69.91666666666667,0.4,1002.225,3,3,2024
Lyon,2024-03-17,6.9,17.1,11.754166666666668,82.125,2.7,1000.8125,7,3,2024
Lyon,2024-03-18,11.4,18.4,14.370833333333332,76.54166666666667,0.9,996.8041666666667,4,3,2024
Lyon,2024-03-19,7.2,19.2,12.825000000000001,71.04166666666667,0.0,997.1541666666667,0,3,2024
Lyon,2024-03-20,4.6,21.5,13.200000000000001,69.95833333333333,0.0,997.8208333333333,0,3,2024
Lyon,2024-03-21,10.4,22.3,15.7125,64.70833333333333,0.0,1003.1625,0,3,2024
Lyon,2024-03-22,10.8,21.9,15.700000000000001,57.625,0.0,999.3375,0,3,2024
Lyon,2024-03-23,8.7,13.7,11.516666666666666,54.416666666666664,0.0,997.2666666666668,0,3,2024
Lyon,2024-03-24,5.9,11.4,8.970833333333333,59.166666666666664,0.4,994.8375,3,3,2024
Lyon,2024-03-25,1.4,15.8,8.733333333333333,63.416666666666664,0.5,983.25,1,3,2024
Lyon,2024-03-26,8.8,13.9,11.066666666666668,78.45833333333333,18.2,971.1416666666668,14,3,2024
Lyon,2024-03-27,2.4,11.5,7.425,73.66666666666667,28.099999999999998,971.7624999999999,10,3,2024
Lyon,2024-03-28,8.5,16.2,12.004166666666668,52.708333333333336,0.7,975.3083333333334,1,3,2024
Lyon,2024-03-29,13.3,20.2,16.599999999999998,55.041666666666664,0.0,975.9125,0,3,2024
Lyon,2024-03-30,10.6,15.8,13.245833333333332,64.25,14.6,976.6916666666666,10,3,2024
Lyon,2024-03-31,9.5,16.3,12.379166666666668,70.08333333333333,6.3,975.3208333333333,7,3,2024
Lyon,2024-04-01,8.7,15.0,11.383333333333333,67.45833333333333,12.7,983.6958333333333,8,4,2024
Lyon,2024-04-02,8.2,17.1,12.141666666666666,55.541666666666664,0.2,994.4708333333333,1,4,2024
Lyon,2024-04-03,11.1,16.8,13.379166666666668,70.08333333333333,5.1000000000000005,993.5291666666667,13,4,2024
Lyon,2024-04-04,8.3,20.9,14.716666666666667,70.75,0.0,996.6833333333334,0,4,2024
Lyon,2024-04-05,13.4,21.1,17.408333333333335,53.333333333333336,0.0,996.3583333333332,0,4,2024
Lyon,2024-04-06,14.3,22.8,18.287499999999998,43.666666666666664,0.0,997.1291666666666,0,4,2024
Lyon,2024-04-07,15.3,23.3,19.070833333333333,44.708333333333336,0.0,995.6833333333334,0,4,2024
Lyon,2024-04-08,15.8,24.9,20.4375,36.0,0.0,988.8208333333333,0,4,2024
Lyon,2024-04-09,8.4,20.1,11.520833333333334,66.33333333333333,19.8,998.8166666666666,15,4,2024
Lyon,2024-04-10,6.3,13.4,10.033333333333333,60.416666666666664,0.0,1007.3583333333332,0,4,2024
Lyon,2024-04-11,7.1,17.6,12.341666666666667,51.75,0.0,1011.3375,0,4,2024
Lyon,2024-04-12,7.6,21.5,14.6875,63.833333333333336,0.0,1011.0458333333332,0,4,2024
Lyon,2024-04-13,8.6,26.6,17.3125,61.583333333333336,0.0,1006.6541666666667,0,4,2024
Lyon,2024-04-14,10.5,28.9,19.820833333333333,62.833333333333336,0.0,1001.5916666666667,0,4,2024
Lyon,2024-04-15,14.5,23.4,18.900000000000002,53.041666666666664,0.0,995.6208333333334,0,4,2024
Lyon,2024-04-16,8.1,14.1,11.295833333333334,55.208333333333336,1.1,994.8541666666666,4,4,2024
Lyon,2024-04-17,6.6,11.2,8.679166666666667,71.25,6.1000000000000005,993.8666666666667,17,4,2024
Lyon,2024-04-18,5.5,10.2,7.383333333333333,70.08333333333333,5.8999999999999995,997.0833333333334,11,4,2024
Lyon,2024-04-19,3.3,15.8,9.804166666666667,59.958333333333336,0.0,1000.0583333333334,0,4,2024
Lyon,2024-04-20,6.6,11.6,8.995833333333334,61.375,0.6000000000000001,999.4291666666667,2,4,2024
Lyon,2024-04-21,4.4,9.6,6.7749999999999995,68.75,0.4,999.4583333333334,3,4,2024
Lyon,2024-04-22,3.6,10.0,6.391666666666667,66.16666666666667,0.2,997.3791666666666,2,4,2024
Lyon,2024-04-23,3.9,11.1,7.791666666666667,52.75,0.0,994.4208333333332,0,4,2024
Lyon,2024-04-24,4.0,10.6,7.466666666666668,60.666666666666664,1.0,993.6750000000001,5,4,2024
Lyon,2024-04-25,4.6,14.6,9.870833333333334,61.208333333333336,0.1,988.725,1,4,2024
Lyon,2024-04-26,9.2,15.3,11.845833333333333,71.29166666666667,3.2,985.9708333333333,13,4,2024
Lyon,2024-04-27,10.7,20.7,15.341666666666667,52.625,0.0,984.9708333333333,0,4,2024
Lyon,2024-04-28,10.4,14.7,12.049999999999999,83.04166666666667,47.5,992.7624999999999,21,4,2024
Lyon,2024-04-29,10.2,17.0,12.825000000000001,83.79166666666667,6.3,998.1041666666666,12,4,2024
Lyon,2024-04-30,11.7,17.7,14.729166666666666,82.08333333333333,0.30000000000000004,993.9041666666667,2,4,2024
Lyon,2024-05-01,11.3,19.8,14.9,82.25,3.3,984.6333333333333,6,5,2024
Lyon,2024-05-02,10.3,13.3,11.424999999999999,80.0,20.2,986.9125,23,5,2024
